American; |əˈmerɪkən|;американский, американец, американка
dissolve; |dɪˈzɑːlv|;растворяться, растворить, растворять, наплыв
distance; |ˈdɪstəns|;расстояние, дистанция, дальность, даль, отдалять, обойти, владеть перспективой
distant; |ˈdɪstənt|;далёкий, отдаленный, дальний, сдержанный, давний, холодный, сухой, слабый, прошлый
distinct; |dɪˈstɪŋkt|;отдельный, особый, отчетливый, определенный, внятный, индивидуальный, ясный
distinction; |dɪˈstɪŋkʃn|;различие, отличие, разграничение, различение, разница, честь, распознавание
distinguish; |dɪˈstɪŋɡwɪʃ|;различать, отличать, выделить, значительный
distribute; |dɪˈstrɪbjuːt|;распространять, распределять, раздавать, рассылать, выдавать, разносить
distribution; |ˌdɪstrɪˈbjuːʃn|;распределение, распространение, дистрибуция, раздача, рассылка, разверстка
district; |ˈdɪstrɪkt|;районный, окружной, район, округ, зона, участок, районировать
disturb; |dɪˈstɜːrb|;беспокоить, нарушать, мешать, побеспокоить, волновать, будоражить, смущать
disturbing; |dɪˈstɜːrbɪŋ|;волнующий, беспокойный, беспокоящий
divide; |dɪˈvaɪd|;раздел, разделение, дележ, водораздел, делить, делиться, разделять, разделяться
division; |dɪˈvɪʒn|;отдел, разделение, дивизион, деление, разделяющий
divorce; |dɪˈvɔːrs|;развод, расторжение брака, разводиться, бракоразводный
divorced; |dɪˈvɔːrst|;разведенный
do; |duː|;делать, выполнять, до, развлечение, то же самое, таким же образом
doctor; |ˈdɑːktər|;доктор, врач, эскулап, шабер, скребок, лечить, фальсифицировать, подделывать
document; |ˈdɑːkjumənt|;документ, текст, свидетельство, документировать
dog; |dɔːɡ|;собака, пес, собачка, кобель, псина, зажим, преследовать, выслеживать
dollar; |ˈdɑːlər|;доллар, крона, долларовый
domestic;  |dəˈmestɪk|; отечественный, внутренний, домашний, прислуга, домашняя работница
dominant; |ˈdɑːmɪnənt|;доминирующий, господствующий, доминанта, основной признак
dominate; |ˈdɑːmɪneɪt|;доминировать, преобладать, господствовать, властвовать, главенствовать
door; |dɔːr|;дверь, дверца, вход, путь, дом, дверной проем, дверной
dot; |dɑːt|;точка, пятнышко, приданое, крошечная вещь, ставить точки, усеивать
double; |ˈdʌbl|;двойной, вдвое, вдвоем, двойник, удваивать
doubt; |daʊt|;сомнение, сомневаться, усомниться, колебаться
down; |daʊn|;вниз, внизу, вниз, вниз по, пух, спуск, нисходящий, опускать
download; |ˌdaʊnˈloʊd|;скачать, загрузить, загрузка, скачивание
downstairs;  |ˌdaʊnˈsterz|; вниз, внизу, нижний этаж
downtown;  |ˌdaʊnˈtaʊn|; в деловой части города, деловая часть города
downward; |ˈdaʊnwərd|;вниз, книзу, ухудшающийся, спускающийся
downwards; |ˈdaʊnwərdz|;вниз, книзу
dozen; |ˈdʌzn|;дюжина, масса
draft; |dræft|;проект, осадка, черновик, тягловый, тяговый, призывать, чертить
drag; |dræɡ|;тянуть, тащить, тащиться, волочить, бремя, торможение
drama; |ˈdrɑːmə|;драма, драматургия
dramatic; |drəˈmætɪk|;драматический, драматичный, впечатляющий, эффектный, театральный, волнующий
draw; |drɔː|;ничья, жеребьевка, тираж, вытягивание, тяга, рисовать, привлекать, черпать, проводить
drawer; |drɔːr|;чертежник, трассант, рисовальщик, чертежник, буфетчик, составитель
drawing; |ˈdrɔːɪŋ|;чертёж, рисунок, рисование, графика, черчение, розыгрыш, вытягивание, волочение
dream; |driːm|;мечтать, грезить, фантазировать, сниться, мечта, сон, сновидение, греза, видение
dress; |dres|;платье, одежда, одеяние, одеваться, одевать, парадный, плательный
dressed; |drest|;одетый
dried; |draɪd|;сушеный, высушенный, сухой, просохший
drink; |drɪŋk|;питье, напиток, глоток, пьянство, стакан, пить, выпивать, пьянствовать, впитывать
drive;  |draɪv|; водить, привод, езда, драйв, дисковод, дорога, стимул, ездить, управлять, приводить, вести, ехать
driver; |ˈdraɪvər|;драйвер, водитель, шофер, машинист, кучер, вагоновожатый, управляющая программа
driving; |ˈdraɪvɪŋ|;вождение, езда, привод, движущий, приводной
drop; |drɑːp|;падение, снижение, капля, понижение, падать, ронять, уронить, опускаться
drug;  |drʌɡ|; наркотик, лекарство, лекарственный, употреблять наркотики
drugstore; |ˈdrʌɡstɔːr|;аптека, аптекарский магазин
drum; |drʌm|;барабан, цилиндр, барабанный бой, барабанить, вдолбить, стучать
drunk; |drʌŋk|;пьяный, выпивший, опьяненный, захмелевший, пьяный, запой, попойка
dry; |draɪ|;сухой, засушливый, сухо, насухо, досуха, сушь, засуха, сушить, сушиться
duck; |dʌk|;утка, парусиновые брюки, утиное мясо, нырять, окунаться, окунать, увертываться
dude; |duːd|;чувак, пижон, хлыщ, фат, пижонский
due; |duː|;должный, обусловленный, должное, точно, прямо
dull; |dʌl|;скучный, тупой, унылый, тусклый, пасмурный, притуплять, притупляться, делать тупым
dumb; |dʌm|;немой, тупой, глупый, бессловесный, бить палкой
dump; |dʌmp|;свалка, отвал, сбрасывать, сваливать, коренастый, самосвальный
during; |ˈdʊrɪŋ|;во время, в течение, в процессе, в продолжение
dust; |dʌst|;пыль, прах, пыльца, сор, презренный металл, пылить, вытирать пыль, запылить
duty; |ˈduːti|;обязанность, долг, пошлина, служба, дежурный, служебный, официальный
dying; |ˈdaɪɪŋ|;умирающий, предсмертный, погибающий, смерть, умирание, угасание, затухание
each; |iːtʃ|;каждый, всякий, каждый, любой
each other;;друг друга
eager;|ˈiːɡər|;нетерпеливый
ear; |ɪr|;ухо, слух, ушко, колос, початок, дужка, колоситься, давать початки
early; |ˈɜːrli|;ранний, предыдущий, преждевременный, рано, преждевременно, заблаговременно
earn; |ɜːrn|;зарабатывать, заслуживать, наработать, приносить доход
earth; |ɜːrθ|;земля, заземление, грунт, земной шар, почва, заземлять, окучивать, закапывать
ease; |iːz|;простота, легкость, облегчение, облегчать, ослаблять, потравить, травить
easily; |ˈiːzəli|;легко, без труда, свободно, намного, гораздо, вероятно
east; |iːst|;восток, ост, к востоку, на восток, восточный
eastern; |ˈiːstərn|;восточный
easy; |ˈiːzi|;лёгкий, удобный, спокойный, свободный, легко, удобно, спокойно, неторопливо
eat; |iːt|;есть, кушать, съедать, поедать, закусить, разъедать, поглощать, грызть, разрушать
economic; |ˌiːkəˈnɑːmɪk|;экономический, хозяйственный, экономичный, экономный, экономически выгодный
economics; |ˌiːkəˈnɑːmɪks|;экономика, экономическая наука, политическая экономия, народное хозяйство
economy; |ɪˈkɑːnəmi|;экономика, хозяйство, экономия, экономичность, сбережения, бережливость, структура
edge; |edʒ|;край, кромка, ребро, окраина, преимущество, пробираться, окаймлять, обрамлять
edition; |ɪˈdɪʃn|;издание, выпуск, тираж, вариант, копия
editor; |ˈedɪtər|;редактор, монтажер, автор передовиц
educate; |ˈedʒukeɪt|;воспитывать, давать образование, тренировать, консультировать
educated; |ˈedʒukeɪtɪd|;образованный, развитой, тренированный, дрессированный
education; |ˌedʒuˈkeɪʃn|;образование, образованность, обучение, воспитание, просвещение, культура, развитие
educational; |ˌedʒuˈkeɪʃənl|;образовательный, учебный, воспитательный, педагогический
effect; |ɪˈfekt|;эффект, влияние, осуществление, действие, осуществлять, производить, выполнять
effective; |ɪˈfektɪv|;эффективный, действующий, эффектный, боец
effectively; |ɪˈfektɪvli|;продуктивно
effectiveness; |ɪˌfekˈtɪvɪti|;эффективность, действенность
efficiency; |ɪˈfɪʃnsi|;эффективность, производительность, оперативность, продуктивность
efficient; |ɪˈfɪʃnt|;эффективный, действенный, рациональный, сомножитель
effort; |ˈefərt|;усилие, попытка, старание, напряжение, достижение, натуга
egg; |eɡ|;яйцо, яйцеклетка, зародыш, яичный, науськивать, подстрекать
eight; |eɪt|;восемь, восьмерка, восемь
eighth; |eɪtθ|;восьмой, восьмой, восьмая часть
either; |ˈaɪðər|;любой, каждый, другой, или, также, оба, любой из двух
elbow; |ˈelboʊ|;локоть, колено, угольник, подлокотник, толкать локтем, толкать локтями
elderly; |ˈeldərli|;пожилой, немолодой, почтенный, престарелые
elect; |ɪˈlekt|;избранный, лучший, избранные, избранник, избирать, выбирать
election; |ɪˈlekʃn|;выборы, избрание, перевыборы, предопределение
electric; |ɪˈlektrɪk|;электрический, электробытовой, электрик
electrical; |ɪˈlektrɪkl|;электрический, электробытовой, наэлектризованный, поразительный, волнующий
electricity;  |ɪˌlekˈtrɪsəti|; электричество
electronic;  |ɪˌlekˈtrɑːnɪk|; электронный
elegant; |ˈelɪɡənt|;элегантный, изящный, изысканный, модник, щеголь, пижон
element; |ˈelɪmənt|;элемент, стихия, звено, составная часть, подразделение, секция, основы, азы, след
elephant; |ˈelɪfənt|;слон, формат бумаги
elevator;  |ˈelɪveɪtər|; лифт, элеватор, подъемник, руль высоты, грузоподъемник, руль глубины
eliminate; |ɪˈlɪmɪneɪt|;ликвидировать, устранять, исключать, уничтожать, игнорировать, выделять, очищать
else; |els|;еще, иначе, кроме, а то, или же, другой, иначе
elsewhere; |ˌelsˈwer|;где-то в другом месте, куда-нибудь в другое место
email; |ˈiːmeɪl|;электронная почта
embarrass; |ɪmˈbærəs|;смущать, стеснять, конфузить, затруднять, обременять, запутывать
embarrassed; |ɪmˈbærəst|;смущённый, растерянный, стесненный, запутавшийся в долгах
embarrassing; |ɪmˈbærəsɪŋ|;смущающий, затруднительный
embarrassment; |ɪmˈbærəsmənt|;смущение, замешательство, затруднение, конфуз, помеха, препятствие, запутанность
emerge; |iˈmɜːrdʒ|;появляться, возникать, всплывать, выясняться, вставать, выходить
emergency; |iˈmɜːrdʒənsi|;аварийный, экстренный, непредвиденный, случай, авария, критическое положение
emotion; |ɪˈmoʊʃn|;эмоция, чувство, волнение, душевное волнение, возбуждение
emotional; |ɪˈmoʊʃənl|;эмоциональный, волнующий, взволнованный
emphasis; |ˈemfəsɪs|;акцент, особое внимание, ударение, подчеркивание, особое значение
emphasize; |ˈemfəsaɪz|;подчёркивать, акцентировать, выделять, придавать особое значение, напирать
empire; |ˈempaɪər|;империя, стиль ампир, имперский, в стиле ампир
employ;  |ɪmˈplɔɪ|; использовать, нанимать, служба, работа по найму
employee;  |ɪmˈplɔɪiː|; работник, служащий, работающий по найму
employer; |ɪmˈplɔɪər|;работодатель, наниматель, предприниматель
employment;  |ɪmˈplɔɪmənt|; занятие, работа, применение, использование, наем, служба
empty; |ˈempti|;пустой, голодный, порожний, опорожнять, опорожняться, порожняк, порожняя тара
enable; |ɪˈneɪbl|;разрешать, давать возможность, облегчать, делать возможным
enclose; |ɪnˈkloʊz|;заключать, окружать, прилагать, огораживать, городить, вкладывать, загородить
enclosed; |ɪnˈkloʊzd|;закрытый, замкнутый
encounter; |ɪnˈkaʊntər|;сталкиваться, наталкиваться, столкновение, схватка, стычка
encourage; |ɪnˈkɜːrɪdʒ|;поощрять, поддерживать, ободрять, воодушевлять, подстрекать, потворствовать
encouragement; |ɪnˈkɜːrɪdʒmənt|;поощрение, ободрение
encouraging; |ɪnˈkɜːrɪdʒɪŋ|;поощрение, ободрение, подстрекательство, обнадеживающий, ободряющий
end; |end|;конец, окончание, край, цель, часть, заканчивать, заканчиваться, кончать
ending; |ˈendɪŋ|;окончание, конец, флексия, конечный, заключительный
enemy; |ˈenəmi|;враг, противник, неприятель, оппонент, вражеский, неприятельский, враждебный
energy; |ˈenərdʒi|;энергия, сила, силы, мощность, энергичность
engage; |ɪnˈɡeɪdʒ|;заниматься, занимать, привлекать, вступать, вовлекать, зацеплять, зацепляться
engaged; |ɪnˈɡeɪdʒd|;занято, занятый, вовлеченный, заинтересованный
engine; |ˈendʒɪn|;двигатель, мотор, машина, паровоз, средство, локомотив, инструмент, орудие
engineer; |ˌendʒɪˈnɪr|;инженер, механик, машинист, сапер, проектировать, создавать, подстраивать
engineering; |ˌendʒɪˈnɪrɪŋ|;инженерный, машиностроительный, техника, инженерия, машиностроение
enhance; |ɪnˈhæns|;повышать, усиливать, увеличивать, совершенствовать, усугублять
enjoy; |ɪnˈdʒɔɪ|;наслаждаться, пользоваться, обладать, получать удовольствие
enjoyable; |ɪnˈdʒɔɪəbl|;приятный, доставляющий удовольствие
enjoyment; |ɪnˈdʒɔɪmənt|;наслаждение, удовольствие, обладание, использование
enormous;  |ɪˈnɔːrməs|; огромный, громадный, чудовищный, ужасный
enough;  |ɪˈnʌf|; достаточно, довольно, достаточное количество
enquiry;  |ˈɪnkwəri|; запрос, расследование, дознание, спрос, вопрос, исследование, справка, следствие
ensure; |ɪnˈʃʊr|;обеспечивать, гарантировать, застраховать, ручаться, подстраховаться
enter; |ˈentər|;вводить, входить, вступать, поступать, выход на сцену
enterprise; |ˈentərpraɪz|;предприятие, предпринимательство, предприимчивость, инициатива
entertain; |ˌentərˈteɪn|;развлекать, принимать, питать, угощать, занимать, принимать гостей, лелеять
entertainer; |ˌentərˈteɪnər|;конферансье, эстрадный артист
entertaining; |ˌentərˈteɪnɪŋ|;развлекательный, занимательный, забавный
entertainment; |ˌentərˈteɪnmənt|;развлечение, развлечения, угощение, увеселение, увеселения, прием, гостеприимство
enthusiasm; |ɪnˈθuːziæzəm|;энтузиазм, восторг, увлечение, восторженность, религиозное исступление
enthusiastic; |ɪnˌθuːziˈæstɪk|;восторженный, полный энтузиазма, увлеченный, полный энергии
entire; |ɪnˈtaɪər|;весь, целый, полный, цельный, сплошной, целое, полнота
entirely; |ɪnˈtaɪərli|;полностью, совершенно, целиком, исключительно, всецело, сплошь, в целом, нацело
entitle;  |ɪnˈtaɪtl|; давать право, называть, озаглавливать, жаловать титул, давать название
entrance; |ˈentrəns|;вход, въезд, выход, доступ, входной, вступительный, заворожить, восторгать
entry;  |ˈentri|; вход, вступление, запись, въезд, вхождение, входной, въездной
envelope; |ˈenvəloʊp|;конверт, оболочка, огибающая, обложка, футляр, обертка, покрышка, обвертка, пленка
environment; |ɪnˈvaɪrənmənt|;окружающая среда, среда, окружение, окружающая обстановка, состояние, контекст
environmental;  |ɪnˌvaɪrənˈmentl|; относящийся к окружающей среде, экзогенный
equal; |ˈiːkwəl|;равный, одинаковый, равняться, быть равным, ровня
equally; |ˈiːkwəli|;одинаково, равно, в равной степени, поровну
equipment; |ɪˈkwɪpmənt|;оборудование, снаряжение, оснащение, аппаратура, экипировка, вооружение, арматура
equivalent; |ɪˈkwɪvələnt|;эквивалентный, равносильный, эквивалент
era; |ˈɪrə|;эпоха, эра, летоисчисление
error; |ˈerər|;ошибка, погрешность, заблуждение, отклонение, рассогласование, грех, блуждание
escape; |ɪˈskeɪp|;побег, выход, бегство, утечка, бежать, вырваться, спасательный
especially; |ɪˈspeʃəli|;особенно, специально, главным образом, сугубо
essay; |ˈeseɪ|;эссе, очерк, опыт, этюд, попытка, набросок, подвергать испытанию, пытаться
essential;  |ɪˈsenʃl|; необходимый, существенный, основной, сущность, неотъемлемость
essentially; |ɪˈsenʃəli|;по существу, существенным образом
establish;  |ɪˈstæblɪʃ|; устанавливать, создавать, учреждать, заложить, основывать, устраивать, заключать
establishment;  |ɪˈstæblɪʃmənt|; установление, учреждение, заведение, истеблишмент, введение, основание, ведомство
estate; |ɪˈsteɪt|;имущество, поместье, имение, сословие, площадка жилой застройки, положение
estimate;  |ˈestɪmət|; оценка, оценивать, смета, калькуляция, исчисление, прикидывать, ценить
ethnic; |ˈeθnɪk|;этнический, языческий, язычник
even; |ˈiːvn|;даже, ровно, точно, выровнять, четный, ровный, вечер, склон дня
evening; |ˈiːvnɪŋ|;вечер, вечеринка, закат жизни, вечерний
evenly; |ˈiːvnli|;равномерно, ровно, поровну, одинаково, спокойно, справедливо, беспристрастно
event; |ɪˈvent|;событие, случай, происшествие, результат, исход, такт, ядерное превращение, номер
eventually; |ɪˈventʃuəli|;в конечном счете, в конце концов, со временем
ever; |ˈevər|;когда-либо, всегда, только
every; |ˈevri|;каждый, все, всякий, полный, абсолютный, каждый, любой
everybody; |ˈevribɑːdi|;все, каждый, всякий
everyone; |ˈevriwʌn|;все, каждый, всякий
everything; |ˈevriθɪŋ|;все, все самое важное, куча, масса
everywhere;  |ˈevriwer|; везде, всюду, повсюду
evidence; |ˈevɪdəns|;доказательство, свидетельство, данные, свидетельствовать, доказывать
evil; |ˈiːvl|;зло, бедствие, грех, вред, несчастье, порок, злой, дурной, зловещий, порочный, вредный
exact; |ɪɡˈzækt|;точный, строгий, аккуратный, взыскать, взыскивать, вымогать
exactly; |ɪɡˈzæktli|;точно, именно, ровно, как раз, точь-в-точь, совершенно верно
exaggerate; |ɪɡˈzædʒəreɪt|;преувеличивать, утрировать, муссировать, излишне подчеркивать
exaggerated; |ɪgˈzædʒəˌretəd|;преувеличенный, дутый, расширенный, ненормально расширенный
exam; |ɪɡˈzæm|;экзамен
examination;  |ɪɡˌzæməˈneɪʃən|; экспертиза, экзамен, исследование, осмотр, проверка, освидетельствование, допрос
examine; |ɪɡˈzæmɪn|;исследовать, рассматривать, проверять, обследовать, осматривать, допрашивать
example; |ɪɡˈzæmpl|;пример, образец, экземпляр, урок, служить примером
excellent; |ˈeksələnt|;отличный, превосходный, великолепный
except; |ɪkˈsept|;кроме, за исключением, если не, исключать, возражать
exception; |ɪkˈsepʃn|;исключение, особая ситуация, возражение, отвод, неодобрение
exchange; |ɪksˈtʃeɪndʒ|;обмен, биржа, замена, размен, обменивать, поменять, обменный, меновой
excite; |ɪkˈsaɪt|;возбуждать, возбудить, вызывать, волновать, пробуждать, взвинтить, побуждать
excited; |ɪkˈsaɪtɪd|;возбужденный, взволнованный, экзальтированный
excitement; |ɪkˈsaɪtmənt|;волнение, возбуждение, азарт, экзальтация
exciting; |ɪkˈsaɪtɪŋ|;захватывающий, возбуждающий, волнующий
exclude; |ɪkˈskluːd|;исключать, не допускать, устранять, не впускать, изымать, снимать, выгонять
excluding; |ɪkˈskluːdɪŋ|;исключая, исключающий, исключительно
excuse; |ɪkˈskjuːs|;оправдание, предлог, извинение, оправдывать, служить оправданием
executive; |ɪɡˈzekjətɪv|;исполнительный, административный, исполнительная власть, руководитель
exercise; |ˈeksərsaɪz|;упражнение, осуществление, осуществлять, проявлять, тренировочный
exhibit; |ɪɡˈzɪbɪt|;экспонат, экспозиция, показ, выставлять, выставляться, показывать
exhibition; |ˌeksɪˈbɪʃn|;выставка, показ, демонстрация, проявление, выставочный
exist; |ɪɡˈzɪst|;существовать, быть, находиться, жить, иметься, просуществовать
existence; |ɪɡˈzɪstəns|;существование, наличие, бытие, жизнь, существо, житие, все существующее
existing; |ɪɡˈzɪstɪŋ|;существующий, имеющийся
exit; |ˈeksɪt|;выход, выезд, уход, смерть, выходить, уходить, умереть, выходной
expand; |ɪkˈspænd|;расширяться, расширять, развивать, развиваться, распространять, распространяться
expansion; |ɪkˈspænʃn|;расширение, экспансия, рост, распространение, раскрытие, растяжение, подъем
expect; |ɪkˈspekt|;ожидать, рассчитывать, ждать, надеяться, предполагать, полагать, думать
expectation; |ˌekspekˈteɪʃn|;ожидание, надежда, вероятность, предвкушение, упование, чаяние, виды на наследство
expected; |ɪkˈspektəd|;ожидаемый, предполагаемый
expenditure; |ɪkˈspendɪtʃər|;расход, трата, потребление
expense; |ɪkˈspens|;расходы, расход, издержки, цена, трата, расходование
expensive; |ɪkˈspensɪv|;дорогой, дорогостоящий
experience; |ɪkˈspɪriəns|;опыт, опыт работы, переживание, стаж, испытывать, чувствовать, изведать
experienced; |ɪkˈspɪriənst|;опытный, бывалый, знающий, сведущий
experiment; |ɪkˈsperɪmənt|;эксперимент, опыт, испытание, экспериментировать, баловаться
experimental; |ɪkˌsperɪˈmentl|;экспериментальный, опытный, подопытный, пробный, основанный на опыте
expert; |ˈekspɜːrt|;эксперт, специалист, знаток, экспертный, опытный, квалифицированный
explain; |ɪkˈspleɪn|;объяснять, разъяснять, растолковать, толковать, оправдывать
explanation; |ˌekspləˈneɪʃn|;объяснение, разъяснение, толкование, выяснение, оправдание
explode; |ɪkˈsploʊd|;взорваться, взрывать, взрываться, разбивать, разражаться, подрывать
explore; |ɪkˈsplɔːr|;исследовать, изучать, обследовать, разведывать, выяснять, зондировать
explosion; |ɪkˈsploʊʒn|;взрыв, вспышка, быстрый рост
export; |ɪkˈspɔːrt|;экспорт, вывоз, экспортировать, вывозить, экспортный, вывозной
expose;  |ɪkˈspoʊz|; разоблачать, подвергать, выставлять, публичное разоблачение
express; |ɪkˈspres|;экспресс, курьер, выражать, курьерский, с нарочным, спешно
expression; |ɪkˈspreʃn|;выражение, экспрессия, выразительность, оборот речи, выжимание
extend;  |ɪkˈstend|; расширять, продлить, распространять, простирать, простираться, продлевать
extension; |ɪkˈstenʃn|;расширение, продление, продолжение, удлинение, распространение, удлинитель
extensive; |ɪkˈstensɪv|;обширный, экстенсивный, пространный, далеко идущий
extent; |ɪkˈstent|;степень, мера, экстент, размер, протяжение, пространство
external; |ɪkˈstɜːrnl|;внешний, наружный, посторонний, внешняя поверхность, наружная сторона
extra; |ˈekstrə|;дополнительный, лишний, дополнительно, особо, высший сорт, статист
extraordinary; |ɪkˈstrɔːrdəneri|;чрезвычайный, внеочередной, экстраординарный, необычайный, необычный
extreme;  |ɪkˈstriːm|; крайность, экстремальный, крайний, чрезвычайный, крайняя степень
extremely; |ɪkˈstriːmli|;чрезвычайно, очень, крайне, в высшей степени, бесконечно
eye; |aɪ|;глаз, взгляд, взгляды, око, глазок, взор, наблюдать, смотреть, рассматривать
face; |feɪs|;лицо, грань, лик, циферблат, выражение лица, сталкиваться, стоять лицом
facility; |fəˈsɪləti|;объект, установка, возможность, предприятие, сооружение, завод, легкость
fact; |fækt|;факт, действительность, обстоятельство, явление, событие, истина, сущность, быль
factor; |ˈfæktər|;фактор, коэффициент, множитель, момент, управляющий
factory; |ˈfæktri|;завод, фабрика, фактория, заводской, фабричный
fail; |feɪl|;неудача, провал, облом, терпеть неудачу, обанкротиться
failure;  |ˈfeɪljər|; неудача, провал, отказ, недостаточность, сбой, неспособность, отсутствие
faint; |feɪnt|;слабый, тусклый, бледный, обморок, потеря сознания, падать в обморок, слабеть
fair; |fer|;справедливый, честный, ярмарка, выставка, базар, честно, ясно, чисто, точно
fairly; |ˈferli|;довольно, достаточно, справедливо, честно, совершенно, беспристрастно, явно
faith; |feɪθ|;вера, доверие, верность, религия, вероисповедание, слово, честность, лояльность
faithful; |ˈfeɪθfl|;верный, верующий, точный, преданный, верующие, правоверные
faithfully; |ˈfeɪθfəli|;верно, честно
fall; |fɔːl|;падение, осень, снижение, спад, выпадение, падать, снижаться, опускаться, впадать
false; |fɔːls|;ложный, фальшивый, неправильный, лживый, ошибочный, искусственный, подставной
fame; |feɪm|;слава, известность, молва, репутация, прославлять
familiar;  |fəˈmɪliər|; привычный, хорошо знакомый, близкий, близкий друг
family; |ˈfæməli|;семья, семейство, род, содружество, семейный, фамильный, родовой
famous; |ˈfeɪməs|;известный, знаменитый, прославленный, славный, замечательный, отличный, отменный
fan; |fæn|;вентилятор, поклонник, веер, любитель, раздуть, раздувать, обмахивать, разжигать
fancy; |ˈfænsi|;фантазия, воображение, вкус, причудливый, модный, полагать
fantastic; |fænˈtæstɪk|;фантастический, превосходный, чудесный, причудливый, гротескный, экстравагантный
far; |fɑːr|;далёкий, дальний, далеко, гораздо, намного, большое расстояние
farm; |fɑːrm|;ферма, хозяйство, хутор, сельскохозяйственный, обрабатывать землю
farmer; |ˈfɑːrmər|;фермер, арендатор, откупщик
farming; |ˈfɑːrmɪŋ|;сельское хозяйство, фермерство, откуп, сдача в аренду, сдача на откуп
farther; |ˈfɑrðər|;дальше, далее, далеко, далекий, дальний, содействовать
farthest; |ˈfɑːrðɪst|;дальний, отдаленный, самый дальний, дальше всего, гораздо
fascinating; |ˈfæsɪneɪtɪŋ|;очаровательный, пленительный, обворожительный
fashion; |ˈfæʃn|;мода, образ, стиль, фасон, вид, фасонировать, модельный
fashionable; |ˈfæʃnəbl|;модный, фешенебельный, светский, светский человек
fast; |fæst|;быстрый, скорый, быстро, скоро, крепко, пост, засов, причал, поститься, голодать
fasten; |ˈfæsn|;скрепить, закреплять, прикреплять, прикрепляться, застегиваться, застегивать
fat; |fæt|;жир, сало, ожирение, навар, толстый, жирный, тучный, раскармливать
father; |ˈfɑːðər|;отец, родитель, родоначальник, быть отцом, порождать
fault;  |fɔːlt|; неисправность, вина, ошибка, повреждение, придираться, ошибаться
favor; |ˈfeɪvər|;польза, интерес, одолжение, поддерживать, благоволить
favorite; |ˈfeɪvərɪt, ˈfeɪvrɪt|;любимый, излюбленный, фаворит, любимец, любимая вещь
favour; |ˈfeɪvər|;польза, интерес, одолжение, поддерживать, благоволить
favourite; |ˈfeɪvərɪt|;любимый, излюбленный, фаворит, любимец, любимая вещь
fear; |fɪr|;страх, опасение, боязнь, вероятность, опасаться, бояться, страшиться, ожидать
feather; |ˈfeðər|;перо, оперение, плюмаж, гребень, шпонка, дичь, украшать перьями, украшаться перьями
feature; |ˈfiːtʃər|;особенность, черта, характеристика, показывать, изображать, набрасывать
federal; |ˈfedərəl|;федеральный, союзный, правительственный, федералист
fee; |fiː|;плата, взнос, сбор, гонорар, вознаграждение, платить гонорар, нанимать
feed; |fiːd|;корм, подача, питание, кормить, кормиться, питать, кормовой, загрузочный
feedback; |ˈfiːdbæk|;обратная связь, ответная реакция
feel; |fiːl|;ощущение, вкус, чутье, осязание, чувствовать, почувствовать, ощущать
feeling; |ˈfiːlɪŋ|;чувство, ощущение, настроение, чувствительный, прочувствованный
fellow; |ˈfeloʊ|;парень, товарищ, человек, дружески обращаться
female;  |ˈfiːmeɪl|; женская особь, самка, женщина,  матка, женский, женского пола, охватывающий
fence; |fens|;забор, ограждение, ограда, изгородь, фехтовать, огораживать, ограждать
fertilizer; |ˈfɜːrtəlaɪzər|;удобрение, минеральное удобрение, оплодотворитель, удобрительный тук
festival; |ˈfestɪvl|;фестиваль, празднество, праздничный
fetch; |fetʃ|;получать, выбирать, привести, приносить, двойник, хитрость, привидение, уловка
fever; |ˈfiːvər|;лихорадка, жар, лихорадить, лихорадочный
few; |fjuː|;мало, немного, немногие, незначительное число
fibre; |ˈfaɪbər|;волокно, фибра, нить, древесное волокно, склад характера, лыко, мочало
field; |fiːld|;поле, область, полевой, военно-полевой, выдвигать
fifth; |fɪfθ|;пятый, пятый, пятая часть, квинта
fight; |faɪt|;борьба, бой, сражение, драка, спор, мордобой, бороться, сражаться, воевать, драться
fighting; |ˈfaɪtɪŋ|;борьба, бой, сражение, драка, боевой, борющийся
figure; |ˈfɪɡjər|;рисунок, фигура, цифра, диаграмма, образ, фигурировать, полагать, считать
file; |faɪl|;файл, досье, дело, напильник, картотека, хранить, подшивать, подпиливать, пилить
fill;  |fɪl|; заполнять, заполнение, насыпь, закрашивание, наполнять, наполняться
film; |fɪlm|;фильм, пленка, кино, кино-, экранизировать
filthy; |ˈfɪlθi|;грязный, отвратительный, мерзкий, замызганный, непристойный, отвратный, гадкий
final; |ˈfaɪnl|;окончательный, конечный, заключительный, выпускные экзамены
finally; |ˈfaɪnəli|;окончательно, в конце концов, в конечном счете, в конце, в заключение, под конец
finance; |ˈfaɪnæns|;финансы, финансовое дело, доходы, финансировать, управлять финансами
financial; |faɪˈnænʃl|;финансовый, обладающий материальным достатком
find; |faɪnd|;находить, считать, обрести, изыскать, находка, открытие
finding; |ˈfaɪndɪŋ|;обнаружение, открытие, определение, находка, ориентация, приговор
fine; |faɪn|;штраф, пеня, оштрафовать, прекрасный, тонкий, прекрасно, хорошо
finely; |ˈfaɪnli|;тонко, хорошо, прекрасно, превосходно, ясно, точно, мелко
finger; |ˈfɪŋɡər|;палец, перст, штифт, указатель, стрелка, указывать, трогать пальцами
finish;  |ˈfɪnɪʃ|; завершать, отделка, финиш, окончание, конец, заканчивать, финишировать
finished; |ˈfɪnɪʃt|;законченный, завершенный, отделанный, обработанный, оконченный, закончившийся
